date,open,high,low,close,volume
2007/01/11,22.20,22.50,20.80,20.80,12650
2007/01/12,21.40,22.25,21.05,22.25,12766
2007/01/15,22.35,22.40,21.40,22.10,8047
2007/01/16,22.50,23.50,22.50,23.00,12488
2007/01/17,23.20,24.55,22.80,24.15,18403
2007/01/18,24.15,24.50,23.70,24.15,11821
2007/01/19,24.15,25.20,24.15,24.90,11710
2007/01/22,25.00,26.60,24.95,26.60,17197
2007/01/23,26.60,27.80,26.10,26.30,16322
2007/01/24,26.50,27.15,25.70,26.70,10064
2007/01/25,26.80,26.80,24.85,25.30,20139
2007/01/26,24.50,25.80,24.30,25.30,7616
2007/01/29,25.65,25.90,24.80,25.05,5313
2007/01/30,25.10,25.30,24.90,24.90,4131
2007/01/31,24.80,25.30,23.70,24.00,14088
2007/02/01,24.10,24.45,23.80,24.10,5348
2007/02/02,24.40,25.30,24.10,25.00,10039
2007/02/05,25.10,25.90,24.70,25.45,7297
2007/02/06,25.80,25.90,25.50,25.75,4709
2007/02/07,26.00,26.10,25.45,25.50,4687
2007/02/08,25.70,25.70,24.90,25.05,4515
2007/02/09,25.05,25.90,25.05,25.60,5738
2007/02/12,25.40,25.60,25.00,25.35,2968
2007/02/13,25.35,25.60,25.15,25.15,3342
2007/02/14,25.25,25.50,25.10,25.10,3975
2007/02/26,25.75,26.60,25.30,26.40,12101
2007/02/27,26.70,26.80,25.70,26.00,6151
2007/03/01,24.20,24.95,24.20,24.80,11074
2007/03/02,24.40,24.90,24.15,24.55,4202
2007/03/03,24.50,24.65,23.15,23.90,5277
2007/03/05,23.40,23.40,22.25,22.25,7676
2007/03/06,22.20,23.00,22.10,23.00,4467
2007/03/07,23.20,24.00,23.00,23.70,7311
2007/03/08,23.65,23.95,23.25,23.55,3438
2007/03/09,23.75,24.40,23.60,23.85,4757
2007/03/12,24.00,24.20,23.70,23.70,2499
2007/03/13,23.40,24.00,23.15,23.30,4814
2007/03/14,22.60,22.90,22.50,22.70,4332
2007/03/15,22.80,23.70,22.80,23.20,3945
2007/03/16,23.20,24.40,23.20,24.00,8059
2007/03/19,24.00,24.20,23.70,23.80,2095
2007/03/20,24.30,24.60,23.70,23.85,5028
2007/03/21,24.00,24.20,23.75,23.80,1475
2007/03/22,24.30,24.30,23.85,23.90,2282
2007/03/23,23.70,24.20,23.70,23.90,2788
2007/03/26,24.15,24.20,23.40,23.60,2789
2007/03/27,23.40,23.65,23.00,23.10,4903
2007/03/28,23.00,23.30,22.80,22.85,2710
2007/03/29,22.80,24.05,22.70,24.00,5596
2007/03/30,24.20,24.30,23.50,23.50,4658
2007/04/02,23.70,25.10,23.50,25.00,16979
2007/04/03,25.20,25.70,24.70,25.20,10479
2007/04/04,25.70,25.70,25.00,25.00,4730
2007/04/09,25.10,25.70,25.10,25.50,5979
2007/04/10,26.10,26.95,25.85,25.90,15076
2007/04/11,25.60,25.85,25.45,25.55,6624
2007/04/12,25.45,25.80,25.20,25.40,4209
2007/04/13,25.45,25.85,24.90,25.05,4799
2007/04/14,25.50,26.25,25.30,26.20,12190
2007/04/16,27.00,27.00,26.30,26.80,9951
2007/04/17,27.20,28.00,26.30,26.40,19874
2007/04/18,26.40,28.20,26.00,28.20,17786
2007/04/19,28.20,28.45,27.50,27.75,16260
2007/04/20,28.00,29.65,27.75,29.65,18382
2007/04/23,29.70,30.50,29.10,29.55,14888
2007/04/24,29.90,30.40,29.30,29.80,11116
2007/04/25,29.70,29.70,28.50,28.70,10572
2007/04/26,28.70,28.90,28.25,28.70,4996
2007/04/27,28.70,28.70,27.70,28.00,6398
2007/04/30,27.70,27.70,26.40,27.05,6349
2007/05/02,26.80,27.35,26.50,26.55,4630
2007/05/03,26.55,26.85,25.50,26.00,6123
2007/05/04,26.40,27.80,26.30,27.80,7247
2007/05/07,28.00,29.45,27.90,28.70,9745
2007/05/08,28.55,28.85,28.00,28.10,4464
2007/05/09,28.00,28.00,27.00,27.30,5858
2007/05/10,27.55,27.80,27.30,27.60,3073
2007/05/11,27.40,27.40,26.80,26.95,4606
2007/05/14,27.00,27.20,26.30,26.85,3306
2007/05/15,26.90,27.45,26.80,26.80,3607
2007/05/16,27.00,27.15,26.60,26.80,2002
2007/05/17,26.90,27.10,26.50,26.60,2810
2007/05/18,26.50,27.00,26.50,26.85,1905
2007/05/21,26.85,27.20,26.35,27.10,4096
2007/05/22,27.60,27.70,26.75,26.85,5378
2007/05/23,26.80,27.10,26.40,26.45,6177
2007/05/24,26.20,26.40,25.80,25.90,6961
2007/05/25,25.70,26.20,25.60,25.90,3267
2007/05/28,26.20,26.20,25.70,25.70,3333
2007/05/29,26.10,26.55,26.10,26.20,4624
2007/05/30,26.20,26.30,25.15,25.30,8777
2007/05/31,25.40,25.85,25.40,25.70,4381
2007/06/01,26.00,26.00,25.50,25.60,2372
2007/06/04,25.80,25.85,25.20,25.30,3619
2007/06/05,25.30,25.40,24.80,25.10,5445
2007/06/06,25.35,26.80,25.10,26.60,12772
2007/06/07,26.60,26.60,25.85,26.15,3802
2007/06/08,26.00,26.15,25.75,25.80,2916
2007/06/11,26.20,26.75,26.00,26.40,5211
2007/06/12,26.60,26.90,26.15,26.20,3768
2007/06/13,26.30,26.75,26.15,26.75,5329
2007/06/14,27.00,27.10,26.40,26.50,4374
2007/06/15,26.50,26.75,26.20,26.30,3484
2007/06/20,26.70,27.30,26.50,27.15,10699
2007/06/21,27.10,27.15,26.50,26.60,5050
2007/06/22,26.80,27.10,26.40,26.50,6169
2007/06/23,27.00,27.00,26.40,26.50,3430
2007/06/25,26.50,27.25,26.35,27.10,8609
2007/06/26,27.20,27.30,26.45,27.00,9243
2007/06/27,26.90,27.05,26.65,26.80,4008
2007/06/28,27.10,27.20,26.70,26.80,5367
2007/06/29,26.90,28.20,26.90,27.65,15764
2007/07/02,27.80,27.90,27.30,27.65,7631
2007/07/03,28.00,28.50,27.65,28.05,10692
2007/07/04,28.30,29.00,27.90,28.10,10419
2007/07/05,28.40,28.50,27.30,27.60,9070
2007/07/06,27.40,27.80,27.00,27.10,9986
2007/07/09,27.40,27.45,26.85,26.85,8783
2007/07/10,26.90,27.20,26.80,27.05,4668
2007/07/11,26.80,27.00,26.05,26.35,7594
2007/07/12,26.35,27.25,26.35,26.70,6367
2007/07/13,27.10,28.00,26.60,28.00,13253
2007/07/16,28.20,29.35,27.80,28.20,20868
2007/07/17,28.50,28.75,27.80,28.25,10220
2007/07/18,28.25,29.50,28.05,29.15,21756
2007/07/19,29.70,29.70,27.80,27.95,10867
2007/07/20,27.95,28.20,27.00,27.35,7032
2007/07/23,27.20,27.40,27.00,27.15,6168
2007/07/24,27.25,27.60,26.90,27.00,8127
2007/07/25,26.90,27.40,26.70,26.95,7579
2007/07/26,27.00,27.45,26.40,26.40,8881
2007/07/27,25.90,26.75,25.45,26.15,6176
2007/07/30,26.00,26.95,26.00,26.30,4328
2007/07/31,26.80,27.45,26.50,26.90,8572
2007/08/01,26.70,27.10,25.65,25.70,6740
2007/08/02,26.35,26.35,23.95,24.00,13702
2007/08/03,24.40,24.50,23.50,23.60,5608
2007/08/06,23.00,23.30,22.80,23.15,3309
2007/08/07,23.50,24.45,23.50,24.00,5734
2007/08/08,24.45,24.50,23.65,24.45,3833
2007/08/09,24.80,25.50,24.55,24.95,5888
2007/08/10,23.90,24.45,23.90,24.20,2763
2007/08/13,24.30,24.95,24.20,24.25,3519
2007/08/14,24.25,24.55,24.00,24.05,2211
2007/08/15,24.05,25.20,23.40,24.10,7147
